word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
dumosus,dumosa,dumosum,dumosior,,,12,dumos
ebeneus,ebenea,ebeneum,ebeneior,,,12,ebene
ebeninus,ebenina,ebeninum,ebeninior,,,12,ebenin
eboreus,eborea,eboreum,eboreior,,,12,ebore
iambeus,iambea,iambeum,iambeior,,,12,iambe
iambicinus,iambicina,iambicinum,iambicinior,,,12,iambicin
iaspideus,iaspidea,iaspideum,iaspideior,,,12,iaspide
iaspius,iaspia,iaspium,iaspiior,,,12,iaspi
ignigenus,ignigena,ignigenum,ignigenior,,,12,ignigen
immensurabilis,immensurabilis,immensurabile,immensurabilior,,,3,immensurabil
immensuratus,immensurata,immensuratum,immensuratior,,,12,immensurat
impaenitendus,impaenitenda,impaenitendum,impaenitendior,,,12,impaenitend
impurgabilis,impurgabilis,impurgabile,impurgabilior,,,3,impurgabil
inaequatus,inaequata,inaequatum,inaequatior,,,12,inaequat
pactitius,pactitia,pactitium,pactitiior,,,12,pactiti
blennus,blenna,blennum,blennior,,,12,blenn
partilis,partilis,partile,partilior,,,3,partil
parilis,parilis,parile,parilior,,,3,paril
passarius,passaria,passarium,passariior,,,12,passari
pauxillulus,pauxillula,pauxillulum,pauxillulior,,,12,pauxillul
perdecorus,perdecora,perdecorum,perdecorior,,,12,perdecor
perflabilis,perflabilis,perflabile,perflabilior,,,3,perflabil
perinfamis,perinfamis,perinfame,perinfamior,,,3,perinfam
perniciabilis,perniciabilis,perniciabile,perniciabilior,,,3,perniciabil
perpallidus,perpallida,perpallidum,perpallidior,,,12,perpallid
perplanus,perplana,perplanum,perplanior,,,12,perplan
perplexabilis,perplexabilis,perplexabile,perplexabilior,,,3,perplexabil
persimplex,persimplex,persimplex,persimplicior,,,3,persimplic
pervicus,pervica,pervicum,pervicior,,,12,pervic
amoyensis,amoyensis,amoyense,amoyensior,,,3,amoyens
azandicus,azandica,azandicum,azandicior,,,12,azandic
iturensis,iturensis,iturense,iturensior,,,3,iturens
latidens,latidens,latidens,latidentior,,,3,latident
melanoticus,melanotica,melanoticum,melanoticior,,,12,melanotic
paraguensis,paraguensis,paraguense,paraguensior,,,3,paraguens
nubicus,nubica,nubicum,nubicior,,,12,nubic
saxicolor,saxicolor,saxicolor,saxicolorior,,,3,saxicolor
shastensis,shastensis,shastense,shastensior,,,3,shastens
paurosaccharolyticus,paurosaccharolytica,paurosaccharolyticum,paurosaccharolyticior,,,12,paurosaccharolytic
suahelicus,suahelica,suahelicum,suahelicior,,,12,suahelic
pestibilis,pestibilis,pestibile,pestibilior,,,3,pestibil
sabbatarius,sabbataria,sabbatarium,sabbatariior,,,12,sabbatari
saccibuccis,saccibuccis,saccibucce,saccibuccior,,,3,saccibucc
salivosus,salivosa,salivosum,salivosior,,,12,salivos
pileatus,pileata,pileatum,pileatior,,,12,pileat
plumifer,plumifera,plumiferum,plumiferior,,,12,plumifer
xanthus,xantha,xanthum,xanthior,,,12,xanth
ebriolatus,ebriolata,ebriolatum,ebriolatior,,,12,ebriolat
ebriolus,ebriola,ebriolum,ebriolior,,,12,ebriol
ebulinus,ebulina,ebulinum,ebulinior,,,12,ebulin
eburatus,eburata,eburatum,eburatior,,,12,eburat
eccentros,eccentros,eccentron,eccentrior,,,2,eccentr
eburneolus,eburneola,eburneolum,eburneolior,,,12,eburneol
ecaudis,ecaudis,ecaude,ecaudior,,,3,ecaud
effetus,effeta,effetum,effetior,,,12,effet
epicopus,epicopa,epicopum,epicopior,,,12,epicop
evestigatus,evestigata,evestigatum,evestigatior,,,12,evestigat
evexus,evexa,evexum,evexior,,,12,evex
cepacius,cepacia,cepacium,cepaciior,,,12,cepaci
exproperatus,exproperata,exproperatum,exproperatior,,,12,exproperat
exulceratorius,exulceratoria,exulceratorium,exulceratoriior,,,12,exulceratori
aerogenes,aerogenes,aerogenes,aerogenior,,,3,aerogen
caulinodans,caulinodans,caulinodans,caulinodantior,,,3,caulinodant
cucumerinus,cucumerina,cucumerinum,cucumerinior,,,12,cucumerin
harzianus,harziana,harzianum,harzianior,,,12,harzian
fabaceus,fabacea,fabaceum,fabaceior,,,12,fabace
holarcticus,holarctica,holarcticum,holarcticior,,,12,holarctic
nitroreducens,nitroreducens,nitroreducens,nitroreducentior,,,3,nitroreducent
tularensis,tularensis,tularense,tularensior,,,3,tularens
fabaginus,fabagina,fabaginum,fabaginior,,,12,fabagin
fabalis,fabalis,fabale,fabalior,,,3,fabal
fabarius,fabaria,fabarium,fabariior,,,12,fabari
fabatus,fabata,fabatum,fabatior,,,12,fabat
fabricabilis,fabricabilis,fabricabile,fabricabilior,,,3,fabricabil
fabricatorius,fabricatoria,fabricatorium,fabricatoriior,,,12,fabricatori
malaccensis,malaccensis,malaccense,malaccensior,,,3,malaccens
xerophilus,xerophila,xerophilum,xerophilior,,,12,xerophil
leptophyllus,leptophylla,leptophyllum,leptophyllior,,,12,leptophyll
samoensis,samoensis,samoense,samoensior,,,3,samoens
bellulus,bellula,bellulum,bellulior,,,12,bellul
macropus,macropus,macropus,macropodior,,,3,macropod
caudalis,caudalis,caudale,caudalior,,,3,caudal
carlsbergensis,carlsbergensis,carlsbergense,carlsbergensior,,,3,carlsbergens
adiposus,adiposa,adiposum,adiposior,,,12,adipos
fabrilis,fabrilis,fabrile,fabrilior,,fabriliter,3,fabril
faeceus,faecea,faeceum,faeceior,,,12,faece
famigeratus,famigerata,famigeratum,famigeratior,,,12,famigerat
febriculentus,febriculenta,febriculentum,febriculentior,,,12,febriculent
fericulus,fericula,fericulum,fericulior,,,12,fericul
liberiensis,liberiensis,liberiense,liberiensior,,,3,liberiens
opalescens,opalescens,opalescens,opalescentior,,,3,opalescent
