word,gender,irregular,pluralia_tantum
agnus_agni,m,fa,fa
agricultura_agriculturae,f,fa,fa
sanctus_sancti,m,fa,fa
arcanum_arcani,n,fa,fa
elephans_elephantis,m,fa,fa
mandragoras_mandragorae,m,fa,fa
elephantus_elephanti,m,fa,fa
achaemenis_achaemenidis,f,fa,fa
catanance_catanances,f,fa,fa
Amazon_Amazonis,f,fa,fa
magus_magi,m,fa,fa
stella_stellae,f,fa,fa
zonarius_zonarii,m,fa,fa
diabolus_diaboli,m,fa,fa
ala_alae,f,fa,fa
dominus_domini,m,fa,fa
anima_animae,f,fa,fa
sanguis_sanguinis,m,fa,fa
testiculus_testiculi,m,fa,fa
Minnesota_Minnesotae,f,fa,fa
placenta_placentae,f,fa,fa
rubia_rubiae,f,fa,fa
senex_senis,mf,fa,fa
hiems_hiemis,f,fa,fa
aestas_aestatis,f,fa,fa
tempestas_tempestatis,f,fa,fa
alba_albae,f,fa,fa
assultus_assultus,m,fa,fa
catapulta_catapultae,f,fa,fa
templum_templi,n,fa,fa
genu_genus,n,fa,fa
terra_terrae,f,fa,fa
cantor_cantoris,m,fa,fa
infelicitas_infelicitatis,f,fa,fa
monstrum_monstri,n,fa,fa
pirata_piratae,m,fa,fa
necromantia_necromantiae,f,fa,fa
geometria_geometriae,f,fa,fa
amuletum_amuleti,n,fa,fa
elixir_elixiris,n,fa,fa
Claudia_Claudiae,f,fa,fa
calix_calicis,m,fa,fa
strategema_strategematis,n,fa,fa
machinatio_machinationis,f,fa,fa
machinarius_machinarii,m,fa,fa
Capella_Capellae,m,fa,fa
cappella_cappellae,f,fa,fa
monachus_monachi,m,fa,fa
paedophilia_paedophiliae,f,fa,fa
basiliscus_basilisci,m,fa,fa
fons_fontis,m,fa,fa
aegis_aegidos,f,fa,fa
silva_silvae,f,fa,fa
ira_irae,f,fa,fa
dorcas_dorcadis,f,fa,fa
catoblepas_catoblepae,m,fa,fa
cornipes_cornipedis,m,fa,fa
palus_paludis,mf,fa,fa
palus_pali,m,fa,fa
corvus_corvi,m,fa,fa
cynocephalus_cynocephali,m,fa,fa
sphingion_sphingii,n,fa,fa
faux_faucis,f,fa,fa
lilium_lilii,n,fa,fa
illecebra_illecebrae,f,fa,fa
fax_facis,f,fa,fa
Phoenice_Phoenices,f,fa,fa
incola_incolae,mf,fa,fa
fumus_fumi,m,fa,fa
tridentiger_tridentigeri,m,fa,fa
thyrsus_thyrsi,m,fa,fa
oculus_oculi,m,fa,fa
virus_viri,n,fa,fa
abra_abrae,f,fa,fa
icas_icadis,f,fa,fa
dyodecas_dyodecadis,f,fa,fa
tribas_tribadis,f,fa,fa
catastropha_catastrophae,f,fa,fa
duodecas_duodecadis,f,fa,fa
aparctias_aparctiae,m,fa,fa
palmatias_palmatiae,m,fa,fa
trias_triadis,f,fa,fa
monas_monadis,f,fa,fa
chilias_chiliadis,f,fa,fa
semimas_semimaris,m,fa,fa
galaxias_galaxiae,m,fa,fa
decas_decadis,f,fa,fa
cosmographus_cosmographi,m,fa,fa
cosmographia_cosmographiae,f,fa,fa
tropaeum_tropaei,n,fa,fa
cinyphes_cinyphum,f,fa,tr
syzygia_syzygiae,f,fa,fa
gryps_grypis,m,fa,fa
sepulcretum_sepulcreti,n,fa,fa
prognosis_prognosis,f,fa,fa
sepulcrum_sepulcri,n,fa,fa
hirpus_hirpi,m,fa,fa
rancor_rancoris,m,fa,fa
psoleos_psolei,m,fa,fa
hirudo_hirudinis,f,fa,fa
hirritus_hirritus,m,fa,fa
porta_portae,f,fa,fa
hircus_hirci,m,fa,fa
gibber_gibberis,m,fa,fa
acalephe_acalephes,f,fa,fa
epistrophe_epistrophes,f,fa,fa
sanguisuga_sanguisugae,f,fa,fa
tessaracoste_tessaracostes,f,fa,fa
liberi_liberorum,m,fa,tr
coriandrum_coriandri,n,fa,fa
longa_longae,f,fa,fa
annus_anni,m,fa,fa
delphinus_delphini,m,fa,fa
incursio_incursionis,f,fa,fa
spelunca_speluncae,f,fa,fa
imperator_imperatoris,m,fa,fa
silvicola_silvicolae,mf,fa,fa
hippocentaurus_hippocentauri,m,fa,fa
saxum_saxi,n,fa,fa
ossifragus_ossifragi,m,fa,fa
semihomo_semihominis,m,fa,fa
phago_phagonis,m,fa,fa
folium_folii,n,fa,fa
quadrupes_quadrupedis,mfn,fa,fa
famulus_famuli,m,fa,fa
caelum_caeli,mn,fa,fa
cinis_cineris,mf,fa,fa
fetus_fetus,m,fa,fa
strongyla_strongylae,f,fa,fa
hippodromos_hippodromi,m,fa,fa
balaena_balaenae,f,fa,fa
